WY,octmaxout,octmeanout,octmedout,octminout,novmaxout,novmeanout,novmedout,novminout,decmaxout,decmeanout,decmedout,decminout,janmaxout,janmeanout,janmedout,janminout,febmaxout,febmeanout,febmedout,febminout,marmaxout,marmeanout,marmedout,marminout,aprmaxout,aprmeanout,aprmedout,aprminout,maymaxout,maymeanout,maymedout,mayminout,junmaxout,junmeanout,junmedout,junminout,julmaxout,julmeanout,julmedout,julminout,augmaxout,augmeanout,augmedout,augminout,sepmaxout,sepmeanout,sepmedout,sepminout,SAC_min,SAC_max,SAC_mean,SAC_median,YOLO_min,YOLO_max,YOLO_mean,YOLO_median,CSMR_min,CSMR_max,CSMR_mean,CSMR_median,MOKE_min,MOKE_max,MOKE_mean,MOKE_median,MISC_min,MISC_max,MISC_mean,MISC_median,SJR_min,SJR_max,SJR_mean,SJR_median,EAST_min,EAST_max,EAST_mean,EAST_median,TOT_min,TOT_max,TOT_mean,TOT_median,CCC_min,CCC_max,CCC_mean,CCC_median,SWP_min,SWP_max,SWP_mean,SWP_median,CVP_min,CVP_max,CVP_mean,CVP_median,NBAQ_min,NBAQ_max,NBAQ_mean,NBAQ_median,EXPORT_min,EXPORT_max,EXPORT_mean,EXPORT_median,GCD_min,GCD_max,GCD_mean,GCD_median,PREC_min,PREC_max,PREC_mean,PREC_median,MISDV_min,MISDV_max,MISDV_mean,MISDV_median,CD_min,CD_max,CD_mean,CD_median,XGEO_min,XGEO_max,XGEO_mean,XGEO_median,WEST_min,WEST_max,WEST_mean,WEST_median,RIO_min,RIO_max,RIO_mean,RIO_median,OUT_min,OUT_max,OUT_mean,OUT_median,EXPIN_min,EXPIN_max,EXPIN_mean,EXPIN_median,DIVE_min,DIVE_max,DIVE_mean,DIVE_median,EFFECT_min,EFFECT_max,EFFECT_mean,EFFECT_median,EFFD_min,EFFD_max,EFFD_mean,EFFD_median,X2_min,X2_max,X2_mean,X2_median,spawn_days_over_20k,spawn_days_over_30k,peak_spawn_days_over_20k,peak_spawn_days_over_30k,Dec_days_over_30k,Jan_days_over_30k,Feb_days_over_30k,Mar_days_over_30k,Apr_days_over_30k,May_days_over_30k
1976,25490,16900.93548,15924,11948,22499,17921.13333,17439,11771,26024,19953.87097,20884,13600,15261,9309.806452,9206,3877,10957,7471.310345,7436,4413,25253,7788.193548,4885,3558,23715,8728.933333,6268.5,3460,4892,3937.483871,3882,3141,4476,3775.133333,3753,2914,5026,4185.709677,4009,3649,7333,4393.548387,4073,2456,10201,3582.966667,2862.5,2260,9840,30600,15181.88525,13050,0,262,20.10382514,9,0,303,45.32240437,41.5,7,1680,173.0546448,21,4,1160,65.63661202,33.5,587,5710,2110.374317,1495,619,7301,2394.387978,1827,10565,34593,17596.37705,14645.5,21,251,152.9071038,168,0,6331,2586.363388,3189.5,1700,4740,4144.128415,4455,0,0,0,0,2735,11037,6883.398907,7221,850,4400,2331.557377,2000,0,9181,628.0491803,0,0,0,0,0,-7331,4400,1703.508197,1900,4973,11055,6537.857923,5913.5,-4577,10731,941.5628415,27,3705,18991,8187.131148,6646,2260,26024,9009.478142,5141,0.18,0.64,0.405136612,0.39,-14,85,54.03005464,60,9883,31013,15495.4153,13220,-14,84,47.55737705,57,NA,NA,NA,NA,22,0,0,0,0,0,0,0,0,0
1977,10982,3611.483871,3555,2066,7034,3643.433333,3059,2143,10035,4213.064516,3747,2774,14201,4362.612903,3168,333,10355,4878.25,4582,1206,7866,3007.258065,2476,1268,4052,2977.033333,3096.5,1667,9689,3909.354839,3337,1221,3335,2383.166667,2274,1498,4155,3049.193548,3166,1591,3901,2382.612903,2689,676,4969,2717.266667,2496.5,1406,5200,13700,7608.30137,7600,0,42,1.810958904,1,0,76,1.150684932,0,3,366,21.81369863,11,4,220,18.35616438,9,56,1940,575.2931507,425,71,1966,616.6136986,468,5384,14908,8226.726027,8246,85,220,136.4356164,132,-330,5619,1169.342466,900,169,4060,1769.021918,1670,0,0,0,0,344,9669,3074.8,2835,850,4400,2335.342466,2000,0,9243,613.2712329,0,0,110,8.435616438,0,-7643,4400,1730.506849,1900,3257,6104,4308.821918,4308,-4104,5906,722.8575342,712,1053,8169,2819.090411,2603,333,14201,3421.427397,3029,0.03,0.87,0.338246575,0.34,-18,97,58.75890411,62,5222,13828,7654.6,7620,-29,97,55.78356164,60,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1978,3549,2045.903226,1937,1174,9283,4003.433333,3348.5,644,24260,8569.870968,8294,703,177545,66157.03226,49457,3107,120846,56158.57143,51632,13485,151260,85618.6129,77525,20413,69838,61170.13333,63305.5,44148,63349,40758.87097,35638,22532,19288,8945.4,7136,3597,4743,3853.612903,4138,970,8571,5813.935484,5751,3936,13752,11717.96667,12779.5,5828,3970,79300,24362.32877,16600,0,85024,3927.967123,11,0,8780,701.8931507,161,0,1350,296.3616438,85,2,10323,575.1150685,97,218,26200,6186.512329,2540,232,30411,7759.882192,3784,4226,174450,36050.17808,20610,26,211,106.830137,108,0,6939,2899.980822,2697,62,4750,3126.961644,3900,0,0,0,0,214,11492,6133.772603,6488,850,4400,2335.342466,2000,0,16562,1882.920548,0,0,111,25.89863014,0,-15412,4400,478.3205479,1856,3253,11700,6519.476712,6455,-5857,35311,7825.608219,2346,199,152855,21644.12329,9109,644,177545,29438.08493,12584,0.01,0.75,0.270273973,0.25,-30,94,37.48219178,38,3976,171197,31576.09315,17658,-37,93,27.5369863,27,NA,NA,NA,NA,144,124,50,43,0,24,19,29,30,22
1979,16533,9599.967742,8453,6679,22300,10928.06667,9262,6596,11303,8779.709677,8529,5918,65795,30522.45161,23108,7988,111315,46341.07143,32953,11640,75136,38086.80645,33004,20542,38120,14484.6,10498.5,6199,19109,13434.70968,13047,7184,10808,5315.766667,5342.5,3814,12100,5264.419355,4195,3033,5776,3356.580645,3348,740,7355,4971.7,4989,2886,10100,71300,17953.42466,14800,0,5340,202.4547945,14,0,4810,436.1369863,38,146,1340,476.8356164,429,2,10224,476.0465753,94,1090,13700,3611.342466,2840,1520,27624,5000.361644,3586,13522,101046,23156.2411,17605,33,244,126.4027397,101,0,6451,3053.608219,2867,715,4664,3170.857534,3194,0,0,0,0,950,11190,6350.868493,6036,850,4400,2335.342466,2000,0,20160,1280.484932,0,0,0,0,0,-18910,4400,1054.857534,1900,2345,10311,5844.405479,5986,-5116,43971,3808.241096,2348,4548,69919,12016.09589,8030,740,111315,15750.51507,9131,0.02,0.71,0.335534247,0.35,-36,95,43.16438356,46,11063,94740,20292.8411,15667,-37,95,33.98356164,36,NA,NA,NA,NA,71,49,33,26,0,12,14,21,2,0
1980,15858,7798.645161,6820,4572,20659,12172.06667,11383.5,5927,57821,19028.54839,10326,7243,303238,118220.129,89133,29177,339852,121654.7931,60054,27748,159520,99151.83871,90509,40429,41666,28628.36667,26092.5,20410,27719,20803.51613,20355,15226,16325,14790.3,14932,12249,15512,11065.22581,10468,8656,6195,4121.677419,3942,1911,17664,9803,9960,5402,10100,94600,26576.22951,17050,2,202145,8728.800546,27,0,16200,734.8934426,167,186,3860,1065.860656,726.5,3,15208,687.3797814,118.5,1760,33700,8238.333333,4260,2076,43912,10726.46721,5470.5,13654,339008,46031.49727,23593.5,39,213,120.0655738,125,0,7221,3519.150273,3514,0,4986,2763.155738,3233.5,0,0,0,0,1041,10655,6402.371585,6295.5,850,4400,2331.557377,2000,0,17732,1433.79235,0,0,0,0,0,-16532,4400,897.7650273,1900,2558,13410,6528.672131,6455,-4195,61180,10269.22131,4875.5,4747,284055,28524.98087,10323.5,1911,339852,38731.36066,15417.5,0.01,0.63,0.259754098,0.24,-21,88,33.21038251,34,10731,326431,40101.36339,19238.5,-22,86,20.37704918,16.5,NA,NA,NA,NA,146,103,60,55,7,30,25,31,10,0
1981,10262,7320.83871,7366,3533,8038,6661.8,6692,4954,30213,12486.80645,9887,7049,75205,18325.25806,7505,2814,67260,21171.39286,16076.5,12254,45332,26483.25806,23706,11733,32847,11647.66667,8653,110,14787,9142.548387,10028,177,9297,4595.8,4493,1789,6305,5305.741935,5373,3947,5289,3148.193548,2999,997,6052,4695.866667,4622.5,3523,8630,52500,15868.73973,13900,1,7384,171.5808219,15,0,4710,153.1534247,18,9,903,130.0356164,54,1,2499,113.3835616,57,1030,5700,2438.578082,2440,1156,10863,2835.150685,2720,10404,64268,18875.47123,16224,0,281,148.0547945,137,0,6368,2945.479452,3073,0,4852,3577.586301,3919,0,0,0,0,22,10652,6671.120548,6751,850,4400,2335.479452,2000,0,19891,1006.265753,0,0,0,0,0,-18941,4400,1329.213699,1950,1994,10850,5290.747945,5576,-5973,20492,590.8082192,-203,3109,54502,10377.3863,7336,110,75205,10875.13699,6887,0,0.83,0.38339726,0.39,-21,99,50.29863014,54,9014,63369,16562.65753,14120,-23,99,42.56712329,43,NA,NA,NA,NA,45,25,18,10,1,7,3,12,2,0
1982,15359,5213.774194,4749,2071,109046,36000.6,31201.5,3509,217288,86287.3871,54817,34570,222673,97674.03226,65956,49913,242388,92555.17857,58232,26733,102840,80088.3871,80758,57114,230827,142192.3667,140936.5,83682,83170,57781.96774,52492,40316,41108,28123,27043.5,19590,29776,16740.83871,13581,10561,21227,13309.25806,12503,9150,33452,25801.83333,24391,20705,8140,98300,41503.91781,35200,0,110712,9841.405479,55,0,20500,1390.832877,470,35,3780,1545.282192,939,9,25773,1230.893151,183,1060,29600,7560.931507,4610,1114,51183,11727.93973,7805,9260,238395,63073.26301,45496,23,211,104.1534247,84,0,7451,3685.046575,3583,0,4710,2722.641096,2880,0,0,0,0,953,11071,6511.841096,6058,850,4400,2335.342466,2000,0,24593,2280.887671,0,0,0,0,0,-23093,4400,54.45479452,1750,3808,13902,8011.813699,7878,-2337,70315,13192.53151,9842,3181,196705,43318.24384,29149,2071,242388,56506.96986,38303,0.01,0.59,0.172273973,0.12,-12,78,21.10958904,15,8200,235365,57565.30137,42538,-20,75,11.20821918,4,NA,NA,NA,NA,182,178,59,55,31,31,24,31,30,31
1983,33769,22975.3871,23047,15594,92380,39152.33333,29789,19409,200389,88908,75704,37483,285664,89761.54839,50750,31096,221043,175756.25,171241.5,134075,419680,266623.1613,246991,171646,169040,118099.7333,110135.5,88229,134653,98658.83871,101103,74871,84643,70929.4,73037,56028,59504,43759.19355,44478,23497,31043,24484.09677,23775,21166,36281,31441.56667,31369,27457,15100,96200,46895.61644,43500,11,274300,20504.11507,289,62,18400,1712.408219,769,265,3970,2154.150685,2280,9,22113,2402.383562,477,5230,44700,21280.60274,19700,7206,79452,27549.54521,27374,23297,422213,94949.27671,67630,1,253,109.8547945,84,0,7667,2640.29863,2299,790,4750,3455.841096,3483,0,0,0,0,1022,11927,6205.994521,5518,850,4400,2335.342466,2000,0,19032,2359.575342,0,0,0,0,0,-18032,4400,-24.23287671,1700,3462,13623,8662.241096,8887,4864,93137,30021.54247,25383,8093,347502,58744.27123,37754,15594,419680,88767.51507,58434,0.01,0.27,0.102027397,0.08,-16,39,12.19178082,10,18042,396105,80964.87945,53085,-31,18,-6.523287671,-7,NA,NA,NA,NA,182,182,59,59,31,31,28,31,30,31
1984,37830,32282.64516,32723,26872,128166,74137.13333,75994.5,26405,356087,154586.871,123889,86413,228366,100905.8065,89706,47820,57058,41515.44828,41437,28450,49633,34915.51613,34593,23026,29295,14637.13333,14219,2945,15865,11092.77419,11628,4824,10038,7925,7817,5899,11270,10127.41935,10244,7532,12197,8178.612903,8451,4874,17171,13586.23333,13640,9771,10200,92700,31019.12568,21300,10,221988,6551.166667,191.5,25,14100,822.7814208,498.5,201,3920,1060.185792,646.5,16,10119,609.4098361,115,1710,35600,8711.693989,5245,2211,44074,11204.07104,7041,15208,351622,48774.36339,29700,1,291,134.6530055,102,0,5940,2321.226776,2366.5,0,4782,3016.360656,3137,0,0,0,0,58,10613,5472.240437,5832.5,850,4400,2331.557377,2000,0,17995,1180.505464,0,0,0,0,0,-16345,4400,1151.051913,1800,2757,13158,7220.174863,7100,-3372,64205,12203.81421,5157,4830,303246,30027.82787,12627,2945,356087,42151.07104,26403,0,0.67,0.207786885,0.19,-30,81,28.34699454,24.5,11428,340452,42614.66667,23119.5,-44,75,15.69398907,10,NA,NA,NA,NA,129,110,60,55,31,31,24,24,0,0
1985,20128,11899.32258,11730,4826,45233,25952.73333,30434,7188,42164,31066.32258,33752,17968,20647,15120.22581,14478,10967,39516,15589.92857,11420,9542,20127,10409.80645,9937,3047,12708,6846.1,6682,4118,8936,7290.677419,7037,5148,10982,5113.333333,3915,2349,6408,4835.387097,4838,3515,4527,2248.483871,2113,655,6396,3174.6,2792,899,9170,41200,16860.32877,14500,0,3408,236.6794521,0,8,3070,224.7287671,136,16,1020,239.939726,97,5,3720,180.7808219,109,1300,5790,2935.506849,2670,1476,9676,3580.956164,3226,11425,49820,20677.96438,17915,1,273,155.9780822,156,0,7546,3743.723288,3705,2392,4668,3853.789041,3978,0,0,0,0,3810,11918,7753.490411,7602,850,4400,2335.342466,2000,0,7793,1022.09589,0,0,0,0,0,-6428,4400,1313.246575,1850,2504,7246,5258.545205,5736,-6646,11846,232.3945205,-58,3834,38717,11470.7863,7788,655,45233,11611.2274,8412,0.12,0.71,0.407780822,0.4,-5,96,50.65753425,50,9575,46320,17781.88493,15040,-24,95,42.15616438,42,NA,NA,NA,NA,37,22,7,3,19,0,3,0,0,0
1986,11578,3365.548387,2341,365,18847,6889.7,4581,1368,32564,9430.16129,3368,1240,39407,15208.83871,12478,4801,629494,205414.1071,89960.5,27538,285785,169447.4839,147045,83011,80292,46539.06667,45357,16973,19655,15810.12903,16028,11259,14272,9222.7,7881,5705,9779,7292.903226,7093,5698,7035,5054.258065,5055,3212,20556,10725.93333,7454.5,4156,8260,115000,24784.27397,15300,20,499301,13975.65753,43,17,34400,973.2328767,168,41,5500,1119.616438,426,2,30532,759.5561644,117,1630,36600,7220.328767,3380,1817,72522,10072.73425,4156,10546,661272,48832.66575,20512,10,253,152.9150685,161,0,7337,3736.309589,3807,186,4611,3615.89863,3914,0,0,0,0,256,11635,7505.123288,7545,850,4400,2335.342466,2000,0,27631,1961.594521,0,-1671,57830,3.64109589,0,-22356,31049,377.3890411,1476,1959,16124,6185.906849,6016,-3799,94020,8506.950685,1049,3299,602947,32469.35342,8448,365,629494,40950.15342,9847,0,0.81,0.367726027,0.38,-12,97,43.2739726,45,8466,647372,43486.70959,16992,-44,96,31.83013699,31,NA,NA,NA,NA,103,85,37,30,3,3,27,31,21,0
1987,14078,10608.41935,10592,6097,9719,7731.666667,7869,5946,11391,8986.354839,8735,6500,22121,10818.16129,10631,4798,43422,16859.14286,12216,5422,43268,22915.96774,22451,2503,7886,6212.233333,6270,4314,7461,4845.032258,4678,2848,5142,3382.166667,3223,2117,4689,3723.83871,3731,2246,4181,2772.129032,2806,1222,3719,1737.366667,1742,392,8200,38000,13869.9726,12800,16,1742,48.11780822,26,0,1450,100.3561644,45,8,1200,215.830137,67,31,3969,214.569863,198,1330,6000,2507.890411,2290,1552,9214,3038.627397,2671,10590,44060,16956.71781,16159,62,271,180.9260274,178,61,6692,3203.632877,3024,1704,4646,3809.210959,4018,0,0,0,0,2561,10985,7193.769863,7088,850,4400,2335.342466,2000,0,17026,925.0684932,0,0,0,0,0,-16176,4400,1410.273973,1900,2149,7539,4975.915068,5430,-5141,15373,-95.91780822,-78,2848,34595,8547.29589,6857,392,43422,8352.673973,6324,0.09,0.77,0.435780822,0.44,-60,97,55.47671233,58,8560,41060,14531.23014,13387,-47,97,47.69863014,49,NA,NA,NA,NA,30,12,10,3,0,0,3,9,0,0
1988,7512,3761.258065,3704,1796,8713,4291.033333,4126.5,1588,20140,9454.096774,7916,2129,37194,19590.70968,20863,5634,10534,3039.310345,1858,-478,9742,4480.645161,4225,1211,24210,11417.43333,9910,3476,8992,4658.645161,4280,1987,5198,3082.066667,3063.5,1207,5706,3731.645161,4080,1471,4365,2304.870968,2277,861,3940,2250.933333,2080.5,913,7060,37200,13375.43716,12000,16,3807,161.4699454,26,0,953,72.4726776,44.5,7,429,31.72404372,26,12,457,92.36065574,61,1120,2720,1609.398907,1540,1242,2958,1805.934426,1696.5,8525,42023,15342.84153,13728.5,15,281,186.4863388,195.5,0,7591,3783.76776,3791.5,2393,4785,3988.363388,4090,0,62,16.90437158,0,2951,11725,7975.521858,8172,850,4400,2331.557377,2000,0,14446,993.8060109,0,0,0,0,0,-12546,4400,1337.751366,1775,1822,10147,5459.275956,5437,-6327,8724,-1579.830601,-1921,2444,35577,7703.062842,6068.5,-478,37194,6029.568306,3839,0.2,0.95,0.532622951,0.52,-19,104,65.2431694,71,7195,40743,13737.83607,12140.5,-23,105,60.8989071,68,NA,NA,NA,NA,22,7,16,7,0,7,0,0,0,0
1989,4919,3141.645161,3026,1232,27065,6619.3,3364.5,1887,22705,7230.935484,4565,870,10058,3603.806452,2885,-522,12155,6378.535714,5660,2271,67929,38928.32258,37936,5612,34361,11686.5,8894,4611,10303,7378.612903,7110,5278,10671,6155.733333,6089.5,1834,10017,6162.612903,6576,1755,8899,4468.548387,4321,227,22569,6445.966667,4709.5,-167,6410,73500,16990.10959,14500,15,3646,62.07123288,26,0,5450,226.0136986,58,6,367,31.74246575,32,2,359,48.2630137,22,984,2580,1462.665753,1330,1032,7337,1768.665753,1450,7683,77384,18820.84658,16162,78,282,185.2438356,170,0,7759,4331.863014,5093,1632,4807,3964.021918,4129,16,91,42.61917808,38,2005,12578,8523.747945,9564,850,4400,2335.342466,2000,0,14045,1090.772603,0,0,0,0,0,-11995,4400,1244.569863,1900,2238,10604,6093.441096,5986,-6719,8882,-1470.632877,-1675,1972,63132,10610.25479,7930,-522,67929,9052.528767,5746,0.13,0.94,0.490082192,0.49,-27,105,59.32328767,64,6473,75364,17367.76438,14784,-31,105,55.51506849,60,NA,NA,NA,NA,36,22,0,0,0,0,0,21,1,0
1990,17686,4887.451613,3643,-846,13820,5477.8,4224.5,2073,6460,4399.16129,4151,2113,31820,9885.741935,6888,800,19492,6787.571429,5322,1064,12199,3813.129032,2163,382,9573,5922.766667,6677,1834,27757,7700.16129,5199,2231,23502,4846.433333,3235,1774,5381,3965.83871,4279,2258,6675,4460.870968,4279,2670,4421,2450.166667,2660,100,5370,36900,13646.71233,13800,15,85,28.78356164,26,2,910,124.6273973,65,12,368,37.23287671,27,2,361,71.3260274,48,685,1970,1264.893151,1260,860,2818,1498.063014,1448,7243,38654,15173.5589,15248,92,279,187.090411,182,0,7899,4334.345205,5498,1649,4379,3725.687671,4075,0,82,39.45205479,36,2157,12275,8286.575342,9950,850,4400,2335.342466,2000,0,12325,827.6739726,0,0,0,0,0,-9375,4400,1507.668493,1950,2988,8975,5901.939726,6016,-6801,12057,-1866.542466,-2228,1152,32280,7351.383562,6941,-846,31820,5379.315068,4170,0.17,0.89,0.531863014,0.55,-28,107,67.2739726,71,5803,37284,13930.68493,13958,-26,108,64.41643836,68,NA,NA,NA,NA,9,1,5,1,0,1,0,0,0,0
1991,5362,3405.096774,3579,615,10240,4494.933333,3831.5,1785,12656,6383.451613,4854,2477,6286,3972.935484,3947,1799,24622,7361.464286,4127,1682,58341,24579.3871,21823,4363,15606,3701.4,2847,-1275,7418,3862.032258,4055,1088,6633,4002.233333,4152.5,1400,5432,3318.483871,3299,1726,5476,2557.645161,2545,-165,5941,3760.933333,3678.5,1245,4730,46900,10459.72603,9170,15,3260,105.1780822,34,1,3540,148.5424658,22,17,431,56.52876712,34,2,2027,102.7315068,52,436,3980,907.6520548,846,573,7460,1215.427397,980,6647,56926,11780.33151,10029,39,219,146.969863,151,0,6761,2502.432877,2250,0,4083,1944.632877,1689,18,81,49.37808219,49,767,10957,4643.413699,4009,850,4400,2335.342466,2000,0,21440,1158.30411,0,0,0,0,0,-20540,4400,1177.038356,1900,1814,8563,4607.30411,4671,-7031,11385,414.2191781,317,741,46322,5628.019178,3716,-1275,58341,5959.879452,3969,0.06,0.93,0.384109589,0.38,-101,112,55.36164384,60,5253,53616,10892.98082,9353,-88,112,51.6,57,NA,NA,NA,NA,20,9,4,0,0,0,0,9,0,0
1992,11047,3909.096774,3923,259,6858,3909.333333,4356,1070,18853,7622.516129,7456,1951,18725,6413.387097,4329,785,61442,28758.82759,25220,7796,28844,13282.67742,9758,2843,10733,6258.433333,5947.5,1076,4694,3254.580645,3425,1569,6454,3426,3101,1781,4529,2982.741935,2930,1736,3991,2824.451613,2824,1682,5201,3366.066667,3338.5,1880,4340,47000,11084.23497,8865,15,2666,133.7349727,35,0,3010,144.4535519,30,24,408,89.95355191,42.5,2,1743,126.5273224,60,390,5110,964.726776,895.5,484,8423,1325.650273,1095,6248,57349,12543.62022,9774.5,32,224,144.0382514,150,0,6940,2219.81694,1500,0,4139,1848.576503,1299,21,94,48.42622951,45,346,11046,4260.857923,3397,850,4400,2331.557377,2000,0,18631,1130.144809,0,0,0,0,0,-17781,4400,1201.412568,1900,1406,7188,4191.857923,4442.5,-7499,15766,475.7540984,450,674,46503,6689.702186,3946,259,61442,7081.349727,4009.5,0.02,0.83,0.32204918,0.29,-68,97,51.20491803,59,4772,56578,11638.61202,9104.5,-61,96,47.03278689,55,NA,NA,NA,NA,23,13,15,13,0,0,13,0,0,0
1993,12412,4350.483871,3917,2145,11503,4125.833333,3715,1734,38584,11602.74194,8989,1021,131316,57885.87097,49932,14261,108035,55021.64286,49903,20373,150488,63968.6129,45691,22388,99659,44295.93333,32906.5,27152,33754,25188.19355,27000,15674,48626,27078.2,24740,11013,13423,9449.677419,9310,6229,13030,9421.903226,9173,6431,8536,5305.833333,5004.5,3033,5100,82300,27116.57534,22000,16,54526,2633.169863,43,0,7100,665.8328767,175,32,1100,468.2739726,373,19,2055,281.9780822,250,542,9590,2352.126027,2080,633,15945,3768.2,3233,5977,143649,33517.94521,25053,4,232,132.2794521,129,0,10000,3567.443836,3212,0,4469,2912.112329,3907,8,103,46.25753425,39,98,14083,6658.093151,6439,850,4400,2335.342466,2000,0,15879,1784.180822,0,0,0,0,0,-14229,4400,551.1616438,1750,3395,11774,6376.994521,6367,-4158,21956,3128.860274,2319,1084,127536,23218.43014,12756,1021,150488,26308.69041,14605,0,0.66,0.260657534,0.21,-72,89,33.47123288,26,5229,143216,31325.78082,23280,-65,88,28.16164384,20,NA,NA,NA,NA,149,96,57,48,3,26,22,23,19,3
1994,11751,5117.83871,4426,879,16110,7380.6,6004,2456,25013,12360.83871,9686,4854,24392,10787.16129,8902,7376,36774,20557.03571,18665,9382,14909,10595.09677,9854,6620,14988,8149.666667,7345,5721,13530,7941.225806,7717,3172,4556,3781.5,3727.5,2752,6991,4494.645161,4598,2554,5866,3334.645161,3410,1881,10395,5505.933333,4601,2970,6120,29900,13126.63014,12200,15,1686,42.63835616,26,0,868,85.17534247,45,22,917,156.1863014,139,7,417,189.3369863,194,743,4330,1684.712329,1640,1077,5209,2115.40274,2083,7699,34770,15284.67123,14228,0,241,153.0575342,145,0,7163,2780.043836,2446,359,4632,2794.035616,2705,20,112,57.83287671,56,538,11705,5784.969863,5115,850,4400,2335.342466,2000,0,13586,1092.361644,0,0,0,0,0,-12736,4400,1242.980822,1800,1782,10264,4513.879452,4633,-5862,9320,36.36712329,-94,1346,28983,8307.345205,7316,879,36774,8256.720548,6825,0.03,0.79,0.349287671,0.32,-26,94,47.86849315,51,6609,34143,13687.34795,12574,-37,92,41.33150685,45,NA,NA,NA,NA,18,6,13,6,0,0,6,0,0,0
1995,7905,3217.193548,2763,496,10658,5356.166667,5089,1900,34696,9629.483871,8363,2072,247920,107487.4839,106520,3758,120077,72835.96429,73368.5,29776,405822,200644.9032,219982,29949,113348,90836.9,92341.5,56916,172462,98047.48387,89951,61588,62645,46754.03333,48083.5,33024,47226,26789.22581,28611,12784,15870,10875.77419,10466,7163,24134,19629.4,20910,13366,6740,99500,38329.26027,32000,10,266562,15215.2411,25,0,18100,1190.558904,430,40,3620,1430.958904,1080,18,4045,453.1534247,316,965,25900,8710.4,5490,1150,38219,11785.06849,7634,8584,387177,65329.56986,42922,0,220,127.7753425,115,0,8397,3452.926027,3229,0,4571,3565.238356,4125,3,91,40.39726027,40,91,12684,7186.336986,7199,850,4400,2335.342466,2000,0,19950,1929.479452,0,0,0,0,0,-18750,4400,405.8630137,1750,2398,14062,7382.665753,6880,-6287,55191,11717.58082,6117,2210,354302,46048.21644,26535,496,405822,57737.36986,30016,0,0.79,0.249589041,0.19,-17,94,29.62191781,26,7014,380825,58864.4411,35249,-19,93,19.75068493,12,NA,NA,NA,NA,150,144,55,52,1,25,27,30,30,31
1996,22079,11371.35484,11140,2542,11087,8383.366667,9410.5,2472,71595,27709.03226,22466,8322,74821,32144.35484,30661,6652,212184,126912.4828,114785,78670,130424,89147.80645,98142,39017,57161,42032.4,41217,31650,101686,46021.03226,31407,20428,28691,15269.73333,11679,8735,15066,9156.096774,8539,7705,12000,9592.258065,9451,8212,13163,7292.633333,6944,3163,10800,87900,31098.9071,21600,20,93818,4704.002732,43,25,7850,609.4508197,139.5,78,2980,858.5163934,685,105,5262,609.2131148,394.5,1790,17600,5434.453552,2935,2211,27224,7511.63388,4441.5,14569,207020,43314.54372,25140,0,245,143.6666667,128,0,7303,3626.595628,3814,0,4608,3617.478142,4319,0,105,48.92076503,46,118,11943,7436.661202,7635.5,850,4400,2331.557377,2000,0,28090,1560.795082,0,0,0,0,0,-25890,4400,770.7622951,1875,2957,12519,6970.601093,6873,-6702,40482,6544.562842,3150,5076,171011,28616.51093,13343.5,2472,212184,35107.12022,13624,0,0.73,0.270163934,0.27,-44,84,33.77595628,39,11586,198492,39146.21038,22616.5,-38,79,25.34972678,21,NA,NA,NA,NA,157,136,47,45,11,16,29,31,30,19
1997,14422,4768.967742,4201,2578,18495,10035.43333,9076.5,3946,225094,84409.87097,95407,7040,567086,262461.4839,239378,127496,216492,118675.8929,102192.5,69814,70831,33774.87097,25945,13894,21359,14212.86667,14018,8474,14684,12349.74194,12653,8969,10575,8306.666667,8160.5,6705,12648,9383.096774,8945,7878,13987,8717.83871,8179,5027,6965,3976.5,3551.5,2329,9360,113000,29027.0411,17500,0,395140,13527.66575,478,20,61600,1065.161644,192,32,5020,1183.394521,322,93,11042,1383.123288,437,1560,54300,9354.465753,3330,2038,90641,12986.14521,4295,14286,561889,55540.85205,21595,0,248,156.2684932,168,0,6787,3447.780822,3179,0,4685,3467.210959,4243,3,158,52.57808219,37,89,11665,7123.80274,7752,850,4350,2290.630137,1966,0,22465,1378.49863,0,-4487,18929,78.30136986,0,-20465,19821,990.4219178,1824,2079,15858,6499.643836,6083,-7416,105377,11690.71507,1435,4470,495493,35799.76438,11519,2329,567086,47426.60548,11810,0,0.7,0.307260274,0.34,-18,85,39.19178082,43,10953,560250,52568.11507,18937,-13,82,32.30410959,34,42.64,87.14,69.89230137,75.35,115,97,59,59,26,31,28,12,0,0
