"Year","FMWT","SFBSmwt0","SFBSmwt1","SFBSmwt2","SFBSot0","SFBSot1","SFBSot2","20mm","newSFBSmwt0","newSFBSmwt1","newSFBSmwt2","newSFBSot0","newSFBSot1","newSFBSot2"
1967,81737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,3279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,59350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,6515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,15903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,5896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,2819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,6619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,31184,190790,1386,2572,128321,142,106,NA,193933.767831168,342.327716807805,206.429653279811,1174846.26977948,5841.10876154352,994.67201654083
1981,2202,1959,51372,644,4139,11837,122,NA,1958.59209990482,2220.07456852191,43.1402145766835,55751.5703508597,171056.397373571,0
1982,62905,299069,9785,2307,257965,3070,1005,NA,299068.932207357,135.601166534744,249.851992569589,2227841.09055937,23667.7075900665,11096.0612019104
1983,11864,33651,296253,2865,23860,142861,917,NA,34165.1157398653,51657.5967875444,129.818117890345,296954.924676626,212290.705814602,162.445652508578
1984,7408,29218,25463,4082,44329,29399,5767,NA,29339.7446983262,9834.59548332411,801.528121811491,605669.360421799,33487.7666016248,1298.4625934019
1985,992,2895,58525,2693,11787,12626,1185,NA,2894.54631581218,6300.3538261427,0,157698.007868212,25075.1298824743,631.537788279892
1986,6160,24908,12524,2479,12070,2784,288,NA,25064.8408072449,10570.771992249,73.6443373801181,117189.525564375,27024.0412491302,651.273344163638
1987,1520,2872,33471,2287,1984,7174,1284,NA,2872.31638847611,5994.91394282601,115.32052991909,23052.3634978712,23729.0763792878,4370.27072143676
1988,791,1724,18360,4921,1094,4323,2220,NA,1723.95042771415,5676.0026995944,1220.84513046843,12033.8792052955,7450.66529472072,960.915739973922
1989,456,1137,6595,1514,971,2179,369,NA,1136.67331704529,4257.79363905897,455.287270485413,12695.0914097715,10137.5114791385,0
1990,243,745,2776,1058,681,386,317,NA,744.530647727014,483.760743170752,37.7175317856493,7851.40240022432,100.902206483628,0
1991,134,131,3852,541,245,474,161,NA,131.097989960944,542.1470771752,22.7073701680936,3717.02272132603,1123.63144759924,0
1992,76,370,1134,86,620,448,218,NA,369.91914756531,193.192671805463,45.2812078701205,5805.0885599784,1495.74739329448,174.048913402047
1993,798,5086,811,22,7006,53,0,NA,5085.66745122084,23.3879282528878,214.050328307675,86006.5568736705,0,0
1994,545,NA,16515,349,2847,4207,479,NA,NA,NA,NA,NA,NA,NA
1995,8205,555398,NA,NA,152973,791,504,2779.68242163101,550919.68991591,10075.8260863099,805.483650370271,2110203.59793566,2658.84056632027,1042.03735066182
1996,1346,666,NA,NA,11045,4153,248,3055.86941929097,666.337399652934,7400.01237919372,56.9788576824065,147713.077660953,13544.2748965968,0
1997,690,4585,6863,1789,10692,3706,1075,1915.27955249588,4585.3384658463,2894.19296122263,419.61058905803,109703.682527078,7530.73934803339,1621.18883000082
1998,6654,62853,6240,1120,20605,197,89,1214.47261963328,62852.8330714809,329.542353933167,116.193031455868,253667.130012105,661.021164300555,560.268312067907
1999,5243,59040,17546,895,57980,6827,600,2767.33056452759,59040.3172670135,3957.82180354586,12.7164799799832,546843.685303067,16961.6203300592,649.34291735827
2000,3437,12326,12132,1168,16079,1841,240,4008.59110366183,12325.7714567536,3406.92539746351,225.967180101247,205724.358981512,7221.81125947842,2605.09337665455
2001,247,2107,10707,1154,812,15507,954,991.139828468044,2107.40600684348,1074.2462254287,84.3832816837627,8722.79165229211,12621.0230462412,0
2002,707,1173,2472,1900,18132,1070,1604,1305.13819733516,1172.54785661711,456.616598155013,182.195565462877,241513.317412131,1381.60464441088,1488.62478665974
2003,467,230,2558,186,4007,6339,1292,1063.96363394873,230.366380943275,130.592187823089,0,53074.5564640726,7377.93573393064,0
2004,191,1307,2030,486,3529,4323,886,527.511115838279,1307.10460361061,685.282426389915,18.7424247843175,45466.5342821437,1497.92122934679,453.059717679053
2005,129,617,3487,545,8459,4074,593,482.08287310052,617.268884226816,598.180193398868,43.682018908746,114686.4039457,8267.39737639375,223.777174374061
2006,1949,2780,1342,91,21517,1379,285,533.663393999831,2779.75201180633,73.8760946898329,0,224352.980738212,1226.1034082674,651.273344163638
2007,13,441,1351,79,3636,5156,815,307.76140541002,418.596144932532,563.598256317963,0,51394.6860552116,4788.15831809744,0
2008,139,1207,218,230,6155,343,162,737.643945108214,1207.30761519379,0,0,93996.7489064918,893.174871995847,0
2009,65,323,3485,75,971,10317,469,1883.07261502349,322.554740467873,533.435292474552,0,13557.6983730431,12026.5142497746,0
2010,191,867,599,114,628,1373,280,1025.07151689566,867.095734301138,37.6726811760641,13.304064616841,5640.62506244711,0,0
2011,477,1404,950,106,14261,7134,503,792.398731679779,1404.44631175743,206.955492563168,0,167527.460924863,1818.76773055428,0
2012,61,398,5353,1106,2170,840,360,238.711039017713,397.514914901136,502.181171108145,0,22619.3116001124,4596.87376205394,128.650313266625
2013,164,1445,647,324,15545,574,277,1156.75615452463,1445.11605166407,91.7162680311123,91.7162680311123,223679.611081345,1777.18329903562,1157.81927851314
2014,16,1194,615,0,1228,519,63,154.919211777636,1193.72968797908,118.355598101161,0,12772.982434468,635.084504796126,0
2015,4,231,403,44,536,693,196,54.6855134852722,230.833638032854,87.9428293953134,0,10228.4621493715,976.910016245458,0
2016,7,NA,NA,NA,NA,NA,NA,147.415703965074,1233.30204121605,0,0,28094.5127990529,0,0
2017,141,2106,161,49,5844,0,30,401.742056098674,NA,NA,NA,79314.7130756572,0,868.364458884851
2018,52,NA,NA,NA,3387,NA,NA,403.363032269803,NA,NA,NA,NA,NA,NA
